category,slug,name,version,status,path,file_count,size_bytes,migration_recommendation,notes
core,wordpress,WordPress,6.6.5,installed,runtime/restore-source/public_html,22413,479546656,do-not-copy-core,"Install a clean current WordPress core; source requires PHP 7.2.24 and MySQL 5.5.5 at minimum"
theme,astra,Astra,4.7.3,inactive,wp-content/themes/astra,,,do-not-migrate,"Legacy theme"
theme,kubio,Kubio,1.0.25,active,wp-content/themes/kubio,,,do-not-migrate,"Active template and stylesheet in SQL; replace with gulcin-kahraman block theme"
theme,lawyer-hub,Lawyer Hub,2.4,inactive,wp-content/themes/lawyer-hub,,,do-not-migrate,"Legacy theme"
theme,legal-law-consulting,Legal Law Consulting,1.5,inactive,wp-content/themes/legal-law-consulting,,,do-not-migrate,"Legacy theme"
theme,twentytwentyfour,Twenty Twenty-Four,1.2,inactive,wp-content/themes/twentytwentyfour,,,do-not-migrate,"Bundled legacy theme"
theme,twentytwentythree,Twenty Twenty-Three,1.5,inactive,wp-content/themes/twentytwentythree,,,do-not-migrate,"Bundled legacy theme"
theme,twentytwentytwo,Twenty Twenty-Two,1.8,inactive,wp-content/themes/twentytwentytwo,,,do-not-migrate,"Bundled legacy theme"
plugin,all-in-one-seo-pack,All in One SEO,4.6.9.1,active,wp-content/plugins/all-in-one-seo-pack,,,re-evaluate,"Migrate selected SEO metadata only if required; install a clean current copy"
plugin,astra-sites,Starter Templates,4.3.8,active,wp-content/plugins/astra-sites,,,do-not-migrate,"Demo/import tooling and generated upload artifacts"
plugin,broken-link-checker-seo,Broken Link Checker by AIOSEO,1.2.1,active,wp-content/plugins/broken-link-checker-seo,,,do-not-migrate,"Development audit tool only if later needed"
plugin,easy-table-of-contents,Easy Table of Contents,2.0.69.1,active,wp-content/plugins/easy-table-of-contents,,,replace,"Implement article TOC in the new theme unless requirements prove otherwise"
plugin,elementor,Elementor,3.23.2,active,wp-content/plugins/elementor,,,do-not-migrate,"Legacy builder; clean content before migration"
plugin,forminator,Forminator,1.34.1,active,wp-content/plugins/forminator,,,replace,"Form data/configuration and generated uploads must not be copied blindly"
plugin,google-analytics-for-wordpress,Google Analytics for WordPress by MonsterInsights,11.1.0,active,wp-content/plugins/google-analytics-for-wordpress,,,replace,"Do not migrate old connection tokens or identifiers; configure measurement afresh"
plugin,hostinger-easy-onboarding,Hostinger Easy Onboarding,2.1.17,active,wp-content/plugins/hostinger-easy-onboarding,,,do-not-migrate,"Hosting onboarding utility"
plugin,hostinger,Hostinger Tools,3.0.65,active,wp-content/plugins/hostinger,,,re-evaluate,"Install clean only if required by the target Hostinger environment"
plugin,kubio,Kubio,2.3.2,active,wp-content/plugins/kubio,,,do-not-migrate,"Legacy builder paired with active Kubio theme"
plugin,litespeed-cache,LiteSpeed Cache,7.6.2,active,wp-content/plugins/litespeed-cache,,,reconfigure,"Install clean only on LiteSpeed target and rebuild cache configuration"
plugin,omnisend,Omnisend Email Marketing,1.4.1,active,wp-content/plugins/omnisend,,,do-not-migrate,"Do not carry old marketing account connection or tokens"
plugin,optinmonster,OptinMonster,2.16.4,active,wp-content/plugins/optinmonster,,,do-not-migrate,"Do not carry old campaign/account connection or tokens"
plugin,ultimate-addons-for-gutenberg,Spectra,2.14.1,active,wp-content/plugins/ultimate-addons-for-gutenberg,,,do-not-migrate,"Legacy block dependency; clean or recreate content with core blocks/patterns"
plugin,wpforms-lite,WPForms Lite,1.9.0.2,active,wp-content/plugins/wpforms-lite,,,replace,"Duplicate form stack; do not copy cache/forms/settings blindly"
plugin,wp-mail-smtp,WP Mail SMTP,4.1.1,inactive,wp-content/plugins/wp-mail-smtp,,,do-not-migrate-settings,"Never migrate credentials or connection settings; configure SMTP afresh in staging/production"
uploads,uploads-all,Uploads,,,,wp-content/uploads,410,38989275,selective-migration,"Only approved original editorial media should move"
uploads,uploads-2021,Uploads 2021,,,wp-content/uploads/2021,35,1206988,review-media,"Select originals; exclude generated sizes where possible"
uploads,uploads-2022,Uploads 2022,,,wp-content/uploads/2022,5,185695,review-media,"Select originals; exclude generated sizes where possible"
uploads,uploads-2024,Uploads 2024,,,wp-content/uploads/2024,239,16595894,review-media,"Contains bulk importer/demo material and requires strict selection"
uploads,uploads-2025,Uploads 2025,,,wp-content/uploads/2025,6,356642,review-media,"Select originals; exclude generated sizes where possible"
uploads,uploads-2026,Uploads 2026,,,wp-content/uploads/2026,0,0,do-not-migrate,"Empty year directory"
generated,astra-importer-artifacts,Astra importer and template artifacts,,,wp-content/uploads/astra-sites; wp-content/uploads/ast-block-templates-json; wp-content/uploads/st-importer,,,do-not-migrate,"JSON catalogs backups logs WXR and generated files"
generated,forminator-artifacts,Forminator generated assets,,,wp-content/uploads/forminator,,,do-not-copy,"Recreate only the chosen form in the new environment"
generated,wpforms-artifacts,WPForms cache and themes,,,wp-content/uploads/wpforms,,,do-not-copy,"Cache/template material; not editorial media"
generated,spectra-artifacts,Spectra generated assets,,,wp-content/uploads/uag-plugin,,,do-not-copy,"Generated CSS and JS"
security,create-autologin,Hostinger temporary auto-login helper,,present,create_autologin_jkzjtlkndmwef1o.php,1,4373,never-migrate,"SHA-256 4A0936784F447233CA921B197A1FAFE1256CB365D2CE2B18FC7B3AF33EDDF6FD"
